sep=,
instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,131072,45795,39328,19634,13196,13119,1634,37694,782,18852,564,12632,43280,35,0.065212114
1,RedBlackBST,131072,45795,39328,19634,13196,13119,1634,37694,782,18852,564,12632,43280,20,0.048878289
2,BST,131072,45559,39507,19714,13103,13189,1594,37913,717,18997,563,12540,43177,34,0.051680907
2,RedBlackBST,131072,45559,39507,19714,13103,13189,1594,37913,717,18997,563,12540,43177,20,0.063226344
3,BST,131072,45739,39369,19565,13084,13315,1686,37683,734,18831,540,12544,43249,36,0.053648069
3,RedBlackBST,131072,45739,39369,19565,13084,13315,1686,37683,734,18831,540,12544,43249,21,0.058171734
4,BST,131072,45872,39341,19465,13303,13091,1627,37714,758,18707,573,12730,43419,38,0.048780584
4,RedBlackBST,131072,45872,39341,19465,13303,13091,1627,37714,758,18707,573,12730,43419,21,0.048887209
5,BST,131072,45742,39553,19609,12943,13225,1689,37864,748,18861,525,12418,43232,34,0.067579178
5,RedBlackBST,131072,45742,39553,19609,12943,13225,1689,37864,748,18861,525,12418,43232,20,0.052070415
6,BST,131072,45889,39462,19534,12984,13203,1613,37849,717,18817,564,12420,43412,34,0.05093363
6,RedBlackBST,131072,45889,39462,19534,12984,13203,1613,37849,717,18817,564,12420,43412,21,0.098978715
7,BST,131072,45841,39393,19579,12984,13275,1654,37739,773,18806,565,12419,43361,35,0.089722372
7,RedBlackBST,131072,45841,39393,19579,12984,13275,1654,37739,773,18806,565,12419,43361,20,0.050570796
8,BST,131072,45825,38778,19786,13336,13347,1662,37116,764,19022,565,12771,43302,39,0.062814094
8,RedBlackBST,131072,45825,38778,19786,13336,13347,1662,37116,764,19022,565,12771,43302,20,0.050660483
9,BST,131072,45829,39452,19589,13126,13076,1657,37795,737,18852,588,12538,43406,37,0.065901979
9,RedBlackBST,131072,45829,39452,19589,13126,13076,1657,37795,737,18852,588,12538,43406,20,0.054452389
10,BST,131072,45897,39128,19526,13220,13301,1690,37438,703,18823,542,12678,43440,41,0.107547114
10,RedBlackBST,131072,45897,39128,19526,13220,13301,1690,37438,703,18823,542,12678,43440,21,0.057617694
11,BST,131072,45794,39174,19924,13131,13049,1626,37548,755,19169,563,12568,43338,36,0.060258375
11,RedBlackBST,131072,45794,39174,19924,13131,13049,1626,37548,755,19169,563,12568,43338,20,0.048499482
12,BST,131072,46196,38881,19871,13100,13024,1677,37204,728,19143,555,12545,43691,36,0.051499192
12,RedBlackBST,131072,46196,38881,19871,13100,13024,1677,37204,728,19143,555,12545,43691,20,0.055525522
13,BST,131072,45791,39568,19633,13052,13028,1658,37910,730,18903,549,12503,43276,35,0.05339403
13,RedBlackBST,131072,45791,39568,19633,13052,13028,1658,37910,730,18903,549,12503,43276,21,0.064047453
14,BST,131072,45709,39352,19534,13325,13152,1644,37708,774,18760,544,12781,43142,37,0.05111036
14,RedBlackBST,131072,45709,39352,19534,13325,13152,1644,37708,774,18760,544,12781,43142,21,0.049984886
15,BST,131072,46181,39316,19674,12823,13078,1672,37644,785,18889,570,12253,43682,37,0.083982269
15,RedBlackBST,131072,46181,39316,19674,12823,13078,1672,37644,785,18889,570,12253,43682,20,0.076910425
16,BST,131072,46003,39314,19561,13074,13120,1616,37698,763,18798,563,12511,43470,37,0.128121458
16,RedBlackBST,131072,46003,39314,19561,13074,13120,1616,37698,763,18798,563,12511,43470,20,0.061272825
17,BST,131072,45910,39366,19918,12928,12950,1604,37762,805,19113,576,12352,43365,37,0.137925739
17,RedBlackBST,131072,45910,39366,19918,12928,12950,1604,37762,805,19113,576,12352,43365,21,0.071259957
18,BST,131072,45758,39638,19499,13147,13030,1688,37950,738,18761,590,12557,43315,36,0.066103791
18,RedBlackBST,131072,45758,39638,19499,13147,13030,1688,37950,738,18761,590,12557,43315,21,0.083800519
19,BST,131072,46033,39402,19664,13070,12903,1679,37723,783,18881,507,12563,43511,38,0.106632216
19,RedBlackBST,131072,46033,39402,19664,13070,12903,1679,37723,783,18881,507,12563,43511,21,0.066490731
20,BST,131072,45952,39307,19680,13110,13023,1650,37657,721,18959,529,12581,43476,35,0.076486826
20,RedBlackBST,131072,45952,39307,19680,13110,13023,1650,37657,721,18959,529,12581,43476,21,0.070493643
21,BST,131072,45861,39246,19774,13004,13187,1646,37600,706,19068,546,12458,43354,33,0.069664121
21,RedBlackBST,131072,45861,39246,19774,13004,13187,1646,37600,706,19068,546,12458,43354,21,0.142517811
22,BST,131072,45986,39278,19843,12971,12994,1697,37581,712,19131,515,12456,43473,35,0.070984937
22,RedBlackBST,131072,45986,39278,19843,12971,12994,1697,37581,712,19131,515,12456,43473,20,0.101685805
23,BST,131072,46078,39269,19601,13042,13082,1668,37601,713,18888,574,12468,43647,38,0.05905442
23,RedBlackBST,131072,46078,39269,19601,13042,13082,1668,37601,713,18888,574,12468,43647,21,0.094751754
24,BST,131072,45948,39158,19790,13041,13135,1685,37473,749,19041,552,12489,43437,34,0.10099721
24,RedBlackBST,131072,45948,39158,19790,13041,13135,1685,37473,749,19041,552,12489,43437,21,0.186430593
25,BST,131072,45579,39677,19698,13060,13058,1624,38053,703,18995,543,12517,43155,37,0.104678179
25,RedBlackBST,131072,45579,39677,19698,13060,13058,1624,38053,703,18995,543,12517,43155,20,0.067390841
26,BST,131072,45968,39250,19598,13224,13032,1651,37599,726,18872,516,12708,43502,37,0.064078223
26,RedBlackBST,131072,45968,39250,19598,13224,13032,1651,37599,726,18872,516,12708,43502,20,0.056279674
27,BST,131072,45880,39307,19633,13076,13176,1686,37621,756,18877,564,12512,43410,35,0.058801254
27,RedBlackBST,131072,45880,39307,19633,13076,13176,1686,37621,756,18877,564,12512,43410,21,0.081089589
28,BST,131072,45704,39237,19759,13335,13037,1668,37569,736,19023,553,12782,43301,35,0.069651445
28,RedBlackBST,131072,45704,39237,19759,13335,13037,1668,37569,736,19023,553,12782,43301,21,0.057193004
29,BST,131072,46053,39472,19504,13064,12979,1609,37863,750,18754,558,12506,43652,34,0.097101677
29,RedBlackBST,131072,46053,39472,19504,13064,12979,1609,37863,750,18754,558,12506,43652,20,0.084907507
30,BST,131072,45775,39238,19661,13224,13174,1672,37566,751,18910,570,12654,43337,35,0.145810934
30,RedBlackBST,131072,45775,39238,19661,13224,13174,1672,37566,751,18910,570,12654,43337,20,0.09344431
